Name,ID,Size (bytes),Last Modified
Untitled Diagram.drawio.svg,11jZ6kKJ8QZj2TpZQYURTpKiGe6Exc5G3,58710,2025-08-12T22:47:01.074Z
SDG 3_ Good Health and Well-being - A Critical Assessment,1PzkNaDtQBSANk0Jot1dZpx-kxn9DsaQ4-5PTDdrNr-k,324386,2025-08-12T12:32:58.851Z
Age Detection System,1J0gwRQ4MBAE3oP0sJHZ9myYDjw5uDI8K,Unknown,2025-08-12T11:56:09.412Z
results,1Lq_Ntvy_XBg0bxUy3j4BOgdThuoQS_vw,Unknown,2025-08-12T11:55:27.118Z
models,1v4gw9j2MlMb4FukP58k1I5myEOe_NX5U,Unknown,2025-08-12T11:55:27.117Z
test_images,1Wq4Z9zEaSd2Htx_NlJXtkZIoNAQcZBhJ,Unknown,2025-08-12T11:55:27.116Z
processed_profile.webp,1zWLQLPL9CIUvlTngbpgxyUwnKOBrXcRG,420040,2025-08-12T11:51:51.000Z
age_detector.py,1aL-egt_cu13k0frPH0-dqtqg5wBEXoch,6778,2025-08-12T11:51:45.000Z
profile.webp,1uiPMKcnLFOw0AITCpCd9WRXs4TeIC3qN,81922,2025-08-11T23:51:36.000Z
age_net.caffemodel,1ENGTYsTtKeRGTKyx3KQwPmqDOT2X8mEB,45661480,2025-08-11T23:15:10.000Z
res10_300x300_ssd_iter_140000.caffemodel,1Pd_VTiWJ-4dor9BUEApC8xif-xVmD_PL,10666211,2025-08-11T23:14:23.000Z
age_deploy.prototxt,11pNiqDsdaPsif1fMglkiwTlR6Yf7HjFm,2308,2025-08-11T23:12:53.000Z
deploy.prototxt,1pVjPOCRB3GFDHRYL_Pfc6lgjiRMJovtx,28092,2025-08-11T23:07:28.000Z
Kushal Panchali_ Resume and CV,1x7aZ6jiXJQkta3V1_W2BRPLzzbHWgU2U,Unknown,2025-07-22T16:07:16.250Z
Kushal Panchal_Resume.pdf,1k_49bWCmYH9YRrBCXXdkmE11ONvq1m2o,71963,2025-07-22T16:05:54.762Z
Kushal Panchali_CV.pdf,1douNIqdixRiJox9BS9zKolXpo9ejjqnx,114242,2025-07-14T08:59:28.000Z
